Antal test elementer;Test 1 (ms);Test 2 (ms);Test 3 (ms);Test 4 (ms);Test 5 (ms);Test 6 (ms);Test 7 (ms);Test 8 (ms);Test 9 (ms);Test 10 (ms)
0;0.0433999989181757;0.0044999998062849045;0.017400000244379044;0.004599999636411667;0.004699999466538429;0.006400000303983688;0.004699999466538429;0.0035999994724988937;0.004399999976158142;0.0028000008314847946
10000000;34.461200000718236;34.4070999994874;25.250700000673532;26.05299999937415;26.20729999989271;25.2027000002563;25.08750000037253;25.67710000090301;25.447199998423457;32.0394999999553
20000000;54.69679999910295;56.59970000013709;50.77940000034869;54.07640000060201;52.36479999870062;50.27269999869168;56.9769999999553;50.23939999938011;51.29480000026524;51.85719999857247
30000000;88.0168999992311;75.63499999977648;86.83650000020862;78.56550000049174;89.27930000051856;84.55410000123084;79.18859999999404;76.41430000029504;75.99129999987781;87.9695999994874
40000000;125.56730000115931;117.96220000088215;118.35819999873638;118.49409999884665;100.88200000114739;109.02730000019073;118.56200000084937;105.82999999821186;102.14699999988079;112.60339999943972
50000000;132.51170000061393;141.7694999985397;147.232100000605;144.54099999926984;127.9569000005722;135.02500000037253;128.60449999943376;127.93730000033975;125.63350000046194;143.9142999984324
60000000;176.07179999910295;175.7512999996543;152.1324000004679;176.46910000033677;174.9565000012517;168.54399999976158;154.503999998793;172.07829999923706;152.31420000083745;174.87360000051558
70000000;206.41889999993145;179.57430000044405;190.9640999995172;191.05069999955595;191.0181000009179;176.48359999991953;202.56890000030398;205.65380000136793;187.277800001204;204.71160000003874
80000000;212.12260000035167;222.1972000002861;209.90079999901354;214.0670999996364;237.10909999907017;224.54849999956787;232.61189999990165;232.6984999999404;240.55650000087917;207.2519000004977
90000000;228.51720000058413;276.5454999990761;234.6774000003934;228.08290000073612;227.18190000019968;251.62659999914467;254.61600000038743;247.36700000055134;238.29459999874234;261.7795000001788
100000000;293.78509999997914;296.7498999983072;297.2732999995351;288.52750000171363;297.608200000599;292.17170000076294;280.84029999934137;288.93939999863505;294.85309999994934;295.99110000021756
